GO.ID	Term	Annotated	Significant	Expected	P_value
320	GO:0004823	leucine-tRNA ligase activity	2	2	0.75	0.14074
321	GO:1990244	histone H2AT120 kinase activity	2	2	0.75	0.14074
322	GO:0004022	alcohol dehydrogenase (NAD+) activity	2	2	0.75	0.14074
323	GO:0005138	interleukin-6 receptor binding	2	2	0.75	0.14074
324	GO:0034237	protein kinase A regulatory subunit binding	2	2	0.75	0.14074
325	GO:0003873	6-phosphofructo-2-kinase activity	2	2	0.75	0.14074
326	GO:0016230	sphingomyelin phosphodiesterase activator activity	2	2	0.75	0.14074
327	GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	2	2	0.75	0.14074
328	GO:0015220	choline transmembrane transporter activity	2	2	0.75	0.14074
329	GO:0043125	ErbB-3 class receptor binding	2	2	0.75	0.14074
330	GO:0015245	fatty acid transmembrane transporter activity	2	2	0.75	0.14074
331	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	2	2	0.75	0.14074
332	GO:0008732	L-allo-threonine aldolase activity	2	2	0.75	0.14074
333	GO:0005289	high-affinity L-arginine transmembrane transporter activity	2	2	0.75	0.14074
334	GO:0019959	interleukin-8 binding	2	2	0.75	0.14074
335	GO:0008892	guanine deaminase activity	2	2	0.75	0.14074
336	GO:0050135	NAD(P)+ nucleosidase activity	2	2	0.75	0.14074
337	GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	2	2	0.75	0.14074
338	GO:0050105	L-gulonolactone oxidase activity	2	2	0.75	0.14074
339	GO:0032767	copper-dependent protein binding	2	2	0.75	0.14074
340	GO:0004651	polynucleotide 5'-phosphatase activity	2	2	0.75	0.14074
341	GO:0004657	proline dehydrogenase activity	2	2	0.75	0.14074
342	GO:0017057	6-phosphogluconolactonase activity	2	2	0.75	0.14074
343	GO:0045499	chemorepellent activity	2	2	0.75	0.14074
344	GO:0033823	procollagen glucosyltransferase activity	2	2	0.75	0.14074
345	GO:0033814	propanoyl-CoA C-acyltransferase activity	2	2	0.75	0.14074
346	GO:0046976	histone H3K27 methyltransferase activity	2	2	0.75	0.14074
347	GO:0046934	1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity	2	2	0.75	0.14074
348	GO:0004363	glutathione synthase activity	2	2	0.75	0.14074
349	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	2	2	0.75	0.14074
350	GO:0015016	[heparan sulfate]-glucosamine N-sulfotransferase activity	2	2	0.75	0.14074
351	GO:0004370	glycerol kinase activity	2	2	0.75	0.14074
352	GO:0004372	glycine hydroxymethyltransferase activity	2	2	0.75	0.14074
353	GO:0030371	translation repressor activity	5	3	1.88	0.14074
354	GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	20	8	7.5	0.14077
355	GO:0004673	protein histidine kinase activity	13	5	4.88	0.14078
356	GO:0043531	ADP binding	31	15	11.63	0.14363
357	GO:0005112	Notch binding	17	9	6.38	0.14411
358	GO:0019210	kinase inhibitor activity	29	17	10.88	0.14634
359	GO:0000339	RNA cap binding	12	7	4.5	0.14658
360	GO:0030548	acetylcholine receptor regulator activity	7	5	2.63	0.14659
361	GO:0004328	formamidase activity	6	4	2.25	0.14663
362	GO:0004430	1-phosphatidylinositol 4-kinase activity	6	4	2.25	0.14663
363	GO:0042834	peptidoglycan binding	6	4	2.25	0.14663
364	GO:0004185	serine-type carboxypeptidase activity	6	4	2.25	0.14663
365	GO:0035877	death effector domain binding	6	4	2.25	0.14663
366	GO:0008430	selenium binding	6	4	2.25	0.14663
367	GO:0008195	phosphatidate phosphatase activity	6	4	2.25	0.14663
368	GO:0031433	telethonin binding	6	4	2.25	0.14663
369	GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	6	4	2.25	0.14663
370	GO:0004096	catalase activity	6	4	2.25	0.14663
371	GO:0004813	alanine-tRNA ligase activity	6	4	2.25	0.14663
372	GO:0030020	extracellular matrix structural constituent conferring tensile strength	6	4	2.25	0.14663
373	GO:0043274	phospholipase binding	6	4	2.25	0.14663
374	GO:0048029	monosaccharide binding	76	29	28.51	0.14671
375	GO:0008134	transcription factor binding	238	106	89.29	0.14998
376	GO:0032934	sterol binding	24	18	9	0.15134
377	GO:0031593	polyubiquitin modification-dependent protein binding	44	19	16.51	0.15139
378	GO:0010485	histone H4 acetyltransferase activity	14	8	5.25	0.15169
379	GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	11	6	4.13	0.15174
380	GO:0051400	BH domain binding	6	4	2.25	0.15175
381	GO:0019870	potassium channel inhibitor activity	4	3	1.5	0.15176
382	GO:0015665	alcohol transmembrane transporter activity	4	3	1.5	0.15176
383	GO:0050038	L-xylulose reductase (NADP+) activity	4	3	1.5	0.15176
384	GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H	4	3	1.5	0.15176
